ID,UNIQUE_ID,Interaction_ID,ID1,EVENT_MASTER,GROUPED_ID,BAR_ID,SOURCE_ID,DATE,DYAD_CODE,BCode,NUMBER_OF_BASINS,LOCATION,CCODE1,CCODE2,IRM1,IRM2,BCCODE1,BCCODE2,COUNTRY_LIST,NUMBER_OF_Countries,COPDAB_SCALE,BAR_Scale,EVENT_TYPE,EVENT_SUMMARY,Issue_Type1,Issue_Type2,Macro_Event,Comments,SOURCE,Source_Source,KLL_Categ,FBIS_Region,DOC_DATE,EVENT_ISSUE,KLL_ISSUE_NUMBER
10,5,6,29,30,C3,C3AE,430992,7/30/1948,ROM_YGF,DANU,1,DANUBE,ROM,YGF,M,M,DANU_ROM,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
11,5,7,27,28,C3,C3AF,430998,7/30/1948,ROM_USR,DANU,1,DANUBE,ROM,USR,M,M,DANU_ROM,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
12,5,8,19,20,C3,C3AG,431018,7/30/1948,AUT_YGF,DANU,1,DANUBE,AUT,YGF,M,M,DANU_AUT,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
13,5,9,18,19,C3,C3AH,431020,7/30/1948,AUT_ROM,DANU,1,DANUBE,AUT,ROM,M,M,DANU_AUT,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
14,5,10,16,17,C3,C3AI,431022,7/30/1948,AUT_HUN,DANU,1,DANUBE,AUT,HUN,M,M,DANU_AUT,DANU_HUN,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
15,5,11,15,16,C3,C3AJ,431023,7/30/1948,AUT_CZS,DANU,1,DANUBE,AUT,CZS,M,M,DANU_AUT,DANU_CZS,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
16,5,12,32,33,C3,C3B,430973,7/30/1948,HUN_USA,DANU,1,DANUBE,HUN,USA,M,M,DANU_HUN,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
17,5,13,31,32,C3,C3C,430977,7/30/1948,CZS_USA,DANU,1,DANUBE,CZS,USA,M,M,DANU_CZS,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
18,5,14,28,29,C3,C3D,430994,7/30/1948,ROM_USA,DANU,1,DANUBE,ROM,USA,M,M,DANU_ROM,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
19,5,15,26,27,C3,C3E,431002,7/30/1948,GBR_HUN,DANU,1,DANUBE,GBR,HUN,M,M,DANU_GBR,DANU_HUN,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
20,5,16,25,26,C3,C3F,431003,7/30/1948,GBR_YGF,DANU,1,DANUBE,GBR,YGF,M,M,DANU_GBR,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
21,5,17,24,25,C3,C3G,431004,7/30/1948,GBR_ROM,DANU,1,DANUBE,GBR,ROM,M,M,DANU_GBR,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
22,5,18,23,24,C3,C3H,431005,7/30/1948,GBR_USR,DANU,1,DANUBE,GBR,USR,M,M,DANU_GBR,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
23,5,19,22,23,C3,C3I,431009,7/30/1948,USA_YGF,DANU,1,DANUBE,USA,YGF,M,M,DANU_USA,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
24,5,20,21,22,C3,C3J,431012,7/30/1948,USA_USR,DANU,1,DANUBE,USA,USR,M,M,DANU_USA,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
25,5,21,20,21,C3,C3K,431015,7/30/1948,AUT_GBR,DANU,1,DANUBE,AUT,GBR,M,M,DANU_AUT,DANU_GBR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
26,5,22,17,18,C3,C3L,431021,7/30/1948,AUT_FRA,DANU,1,DANUBE,AUT,FRA,M,M,DANU_AUT,DANU_FRA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
27,5,23,14,15,C3,C3M,431024,7/30/1948,AUT_USA,DANU,1,DANUBE,AUT,USA,M,M,DANU_AUT,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
28,5,24,13,14,C3,C3N,431025,7/30/1948,FRA_USR,DANU,1,DANUBE,FRA,USR,M,M,DANU_FRA,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
29,5,25,12,13,C3,C3O,431026,7/30/1948,FRA_ROM,DANU,1,DANUBE,FRA,ROM,M,M,DANU_FRA,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
30,5,26,11,12,C3,C3P,431027,7/30/1948,FRA_YGF,DANU,1,DANUBE,FRA,YGF,M,M,DANU_FRA,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
31,5,27,10,11,C3,C3Q,431028,7/30/1948,FRA_GBR,DANU,1,DANUBE,FRA,GBR,M,M,DANU_FRA,DANU_GBR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
32,5,28,9,10,C3,C3R,431030,7/30/1948,FRA_CZS,DANU,1,DANUBE,FRA,CZS,M,M,DANU_FRA,DANU_CZS,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
33,5,29,8,9,C3,C3S,431031,7/30/1948,FRA_USA,DANU,1,DANUBE,FRA,USA,M,M,DANU_FRA,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
34,5,30,7,8,C3,C3T,431032,7/30/1948,GBR_USA,DANU,1,DANUBE,GBR,USA,M,M,DANU_GBR,DANU_USA,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
35,5,31,6,7,C3,C3U,431033,7/30/1948,FRA_HUN,DANU,1,DANUBE,FRA,HUN,M,M,DANU_FRA,DANU_HUN,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,ExVar,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
36,5,32,41,42,C3,C3V,430956,7/30/1948,CZS_YGF,DANU,1,DANUBE,CZS,YGF,M,M,DANU_CZS,DANU_YGF,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
37,5,33,40,41,C3,C3W,430962,7/30/1948,CZS_HUN,DANU,1,DANUBE,CZS,HUN,M,M,DANU_CZS,DANU_HUN,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
38,5,34,39,40,C3,C3X,430964,7/30/1948,CZS_USR,DANU,1,DANUBE,CZS,USR,M,M,DANU_CZS,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
39,5,35,38,39,C3,C3Y,430965,7/30/1948,AUT_USR,DANU,1,DANUBE,AUT,USR,M,M,DANU_AUT,DANU_USR,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
40,5,36,37,38,C3,C3Z,430966,7/30/1948,CZS_ROM,DANU,1,DANUBE,CZS,ROM,M,M,DANU_CZS,DANU_ROM,Austria--Czechoslovakia--Great Britain--France--Hungary--Romania--Yugoslavia (former)--United States--USSR,8,7,1,y,"Austria, Czechoslovakia, Great Britain, France, Hungary, Romania, Yugoslavia (former) United States, and Soviet Union meet for Danube conference on administration of Danube River",8,0,Danube Joint Management,,COPDAB,New Times: A Weekly Journal of World Affairs (USSR),,,,,
41,6,1,42,43,C4,C4,430982,9/23/1948,EGY_IRQ,TIGR,1,TIGRIS/SHATT,EGY,IRQ,M,M,TIGR_EGY,TIGR_IRQ,Egypt--Iraq,2,4,4,ExVar,Egypt and Iraq agree on terms of Le3m loan to finance irrigation,9,0,,assumes Egypt making loan to Iraq,COPDAB,Arab World,,,,,
43,8,1,44,45,C6,C6,430980,12/7/1948,EGY_ISR,JORD,1,JORDAN,EGY,ISR,I,R,JORD_EGY,JORD_ISR,Egypt--Israel,2,14,-6,ExVar,Egypt destroys to Israel some water & communications line to Negev Jew,10,0,,Egypt/Israelael,COPDAB,Arab World,,,,,
44,9,1,45,46,C7,C7,430979,12/8/1948,PRK_KOR,HANX,1,HAN,PRK,KOR,I,R,HANX_PRK,HANX_KOR,"People's Republic of Korea, Republic of Korea",2,11,-3,y,Democratic People's Republic of Korea refuses to Republic of Korea entry of Kos Reservoir inspection party,10,0,,North&South Korea,COPDAB,New York Times,,,,,
45,10,1,46,47,Y21,Y21,Law 219:V.A.2,1/1/1949,ESP_FRA,EBRO,1,"Lake Lanoux (Fonte-Vive, Carol and Segre Rivers)",ESP,FRA,M,M,EBRO_ESP,EBRO_FRA,France--Spain,2,4,4,y,"In 1949, France and Spain set up a ""Mixed Commission of Engineers"" to study proposals to regulate the use of Lake Lanoux.   It was agreed at this meeting not to alter the status quo until the two governments jointly agreed.",8,0,Lake Lanoux Arbitration,Month and day of event not available.,Yoffe,"Lake Lanoux Arbitration, 12 UNRIAA 281, 53 AJIL 156.",,,,,
47,12,1,48,49,C9,C9,431035,2/10/1949,EGY_UGA,NILE,1,they share the Nile,EGY,UGA,M,M,NILE_EGY,NILE_UGA,Egypt--Uganda,2,4,4,ExVar,Egypt and Uganda agree on plan for hydroelectric and irrigation scheme,3,9,,Egypt/Uganda,COPDAB,Arab World,,,,,
51,15,1,53,54,C12,C12,431045,5/19/1949,EGY_GBR,NILE,1,NILE,EGY,GBR,I,R,NILE_EGY,NILE_GBR,Egypt--Great Britain,2,5,3,ExVar,"Egypt and Great Britain agree hydroelectric, flood control works on Nile",3,6,,,COPDAB,Arab World,,,,,
52,16,1,52,53,C13,C13,431042,5/19/1949,EGY_SDN,NILE,1,NILE,EGY,SDN,I,R,NILE_EGY,NILE_SDN,Egypt--Sudan,2,7,1,y,Egypt desires Sudan participation in water & dam project,2,10,,Egypt/Sudan,COPDAB,Keesing's Contemporary Archives,,,,,
53,17,1,54,55,C14,C14,431047,5/19/1949,EGY_GBR,NILE,1,NILE,EGY,GBR,M,M,NILE_EGY,NILE_GBR,Egypt--Great Britain,2,4,4,ExVar,Great Britain and Egypt agree Owen Falls irrigation & electric plan ,9,3,Owen Falls,Owens Falls located in Uganda (British colony at time),COPDAB,Keesing's Contemporary Archives,,,,,
54,18,1,55,56,W19,W19,,6/16/1949,IND_PAK,INDU,1,Indus,IND,PAK,R,I,INDU_IND,INDU_PAK,India--Pakistan,2,10,-2,y,"In the Delhi agreement signed in May 1948, conflicting claims for water between India and Pakistan were not resolved.  In the agreement, India would not withdraw water delivery without allowing time for Pakistan to develop alternative sources.  Pakistan expressed displeasure with this agreement in a note dated 16 June 1949, calling for the ""equitable apportionment of all common waters,"" and suggesting turning jurisdiction of the case over to the World Court.",2,0,"Indus Water Sharing, IND-PAK",,Wolf,Wolf - Indus Water Treaty Case Study (Time Line),,,,,
55,19,1,56,57,W20,W20,,6/17/1949,IND_PAK,INDU,1,Indus,IND,PAK,I,R,INDU_IND,INDU_PAK,India--Pakistan,2,10,-2,y,"In response to Pakistan's note dated 16 June 1949, calling for the ""equitable apportionment of all common waters,"" and suggesting turning jurisdiction of the case over to the World Court, India suggested that each side try to resolve their differences before turning the problem over to a third party.  This stalemate lasted through 1950.",2,0,"Indus Water Sharing, IND-PAK",Date is approximation.,Wolf,Wolf - Indus Water Treaty Case Study (Time Line),,,,,
57,21,1,58,59,C16,C16,431038,8/6/1949,EGY_ETH,NILE,1,NILE,EGY,ETH,R,I,NILE_EGY,NILE_ETH,Egypt--Ethiopia,2,5,3,y,Ethiopia visits Egypt MN to discuss Nile water DVL,10,0,,Egypt/Ethiopia,COPDAB,Arab World,,,,,
62,26,1,63,64,W69,W69,,1/1/1950,LSO_ZAF,ORAN,1,Lesotho Highlands Project,LSO,ZAF,M,M,ORAN_LSO,ORAN_ZAF,Lesotho--South Africa,2,6,2,y,"A project to transfer water from the Senqu River to South Africa has been investigated in the 1950's, and again in the 1960's.  The project was never implemented due to disagreement over appropriate payment for the water.",2,10,Lesotho Highlands Project,Investigation of joint river development projects.  Date is approximation.,Wolf,Wolf-Lesotho Highlands Case Study,,,,,
63,27,1,64,65,Y22,Y22,Law 219:V.A.2,1/1/1950,ESP_FRA,EBRO,1,"Lake Lanoux (Fonte-Vive, Carol and Segre Rivers)",ESP,FRA,R,I,EBRO_ESP,EBRO_FRA,France--Spain,2,6,2,y,"In 1950, Electricite of France requested permission from the French government to erect a barrier in order to raise capacity of Lake Lanoux, divert waters to the River Ariege for hydroelectric power, and return the water back to the River Carol by a constructing a tunnel.  Proposal submitted to the Mixed Commission of Engineers (which has no binding legal authority). ",3,0,Lake Lanoux Arbitration,Month and day of event not available.,Yoffe,"Lake Lanoux Arbitration, 12 UNRIAA 281, 53 AJIL 156.",,,,,
64,28,1,65,66,C20,C20,342805,5/31/1950,JOR_ISR,JORD,1,JORDAN,JOR,ISR,I,R,JORD_JOR,JORD_ISR,Jordan--Israel,2,9,-1,n/a-border,Jordan considers with Israel unification both sides of Jordan River final,2,10,,,COPDAB,Arab World,,,,,
65,29,1,66,67,C21,C21,150656,6/28/1950,GDR_POL,ODER,1,"ODER, NEISSE",GDR,POL,I,R,ODER_GDR,ODER_POL,German Dem. Republic (East Germany)--Poland,2,6,2,n/a-border,German Dem. Republic and Poland approve E frontier is Oder & Neisse River,12,0,Oder-Neisse,boundary,COPDAB,Facts on File,,,,,
68,32,1,69,70,C24,C24,422012,9/1/1950,ISR_INT,JORD,1,JORDAN,ISR,INT,M,M,JORD_ISR,JORD_INT,Israel (internal),1,5,3,n/a-internal,Israel initiates 7 year project to drain Huleh Swamps for farming,10,2,Huleh Swamp,,COPDAB,Arab World,,,,,
70,34,1,75,76,G46,G46A,9754,10/6/1950,EGY_ETH,NILE,1,Lake Tana dam,EGY,ETH,M,M,NILE_EGY,NILE_ETH,Egypt--Ethiopia--Great Britain,4,4,4,y,"United Kingdom, Ethiopia, and Egypt agree to construction of a dam at Lake Tana ",10,0,Lake Tana Dam,,GEDS,,,,,,
71,34,2,76,77,G46,G46B,9754,10/6/1950,EGY_GBR,NILE,1,Lake Tana dam,EGY,GBR,M,M,NILE_EGY,NILE_GBR,Egypt--Ethiopia--Great Britain,4,4,4,y,"United Kingdom, Ethiopia, and Egypt agree to construction of a dam at Lake Tana ",10,0,Lake Tana Dam,,GEDS,,,,,,
72,34,3,77,78,G46,G46C,9754,10/6/1950,ETH_GBR,NILE,1,Lake Tana dam,ETH,GBR,M,M,NILE_ETH,NILE_GBR,Egypt--Ethiopia--Great Britain,4,4,4,y,"United Kingdom, Ethiopia, and Egypt agree to construction of a dam at Lake Tana ",10,0,Lake Tana Dam,,GEDS,,,,,,
75,37,1,80,81,C30,C30,23140,11/21/1950,PRK_USA,YALU,1,YALU,PRK,USA,R,I,YALU_PRK,YALU_USA,Dem. People's Republic of Korea (North)--United States,2,15,-7,n/a-territory,United States capture Dem. People's Republic of Korea (North) take Hyesanin on Yalu River,13,0,,Korea/China,COPDAB,Facts on File,,,,,
76,38,1,83,84,W22,W22A,,1/1/1951,IND_USA,INDU,1,Indus,IND,USA,R,I,INDU_IND,INDU_USA,Pakistan--United States--India,2,7,1,ExVar,"After visiting India and Pakistan, David Lilienthal, former chairman of the US Tennessee Valley Authority (TVA), wrote an article outlining water resource development recommendations for the region and suggesting that international financing be arranged to fund the workings of an ""Indus Engineering Corporation.""",2,0,"Indus Water Sharing, IND-PAK",Date is approximation.,Wolf,Wolf - Indus Water Treaty Case Study (Time Line),,,,,
77,38,2,84,85,W22,W22B,,1/1/1951,PAK_USA,INDU,1,Indus,PAK,USA,R,I,INDU_PAK,INDU_USA,Pakistan--United States--India,2,7,1,ExVar,"After visiting India and Pakistan, David Lilienthal, former chairman of the US Tennessee Valley Authority (TVA), wrote an article outlining water resource development recommendations for the region and suggesting that international financing be arranged to fund the workings of an ""Indus Engineering Corporation.""",2,0,"Indus Water Sharing, IND-PAK",Date is approximation.,Wolf,Wolf - Indus Water Treaty Case Study (Time Line),,,,,
79,40,1,82,83,W21,W21,,1/1/1951,IND_USA,INDU,1,Indus,IND,USA,I,R,INDU_IND,INDU_USA,India--United States,2,7,1,ExVar,"In 1951, Indian Prime Minister Nehru, invited David Lilienthal, former chairman of the US Tennessee Valley Authority (TVA) to visit India.",2,0,"Indus Water Sharing, IND-PAK",Date is approximation.,Wolf,Wolf - Indus Water Treaty Case Study (Time Line),,,,,
80,41,1,85,86,Y8,Y8,Law 219:V.A.4,1/1/1951,MEX_USA,YAQU,1,"canal running from Douglas, Arizona into Agua Prieta, Mexico",MEX,USA,I,R,YAQU_MEX,YAQU_USA,Mexico--United States,2,10,-2,y,"In 1951, Mexico asks US to repair water canal running from Arizona (Douglas) into Mexico (Agua Prieta).  Mexico asserts US built canal without agreement with Mexico, so it's US responsibility to fix canal's embankments.",6,10,AZ-Mexico canal,,Yoffe,"Whiteman Digest, pp.256-259",,,,,
81,42,1,86,87,Y9,Y9,Law 219:V.A.4,1/1/1951,MEX_USA,YAQU,1,"canal running from Douglas, Arizona into Agua Prieta, Mexico",MEX,USA,R,I,YAQU_MEX,YAQU_USA,Mexico--United States,2,10,-2,y,"US replies to Mexico complaint re. repair of water canal:  City official from Douglas, AZ and Agua Prieta, MEX conferrred in construction of  canal; Douglas had changed path of canal at request of Agua Prieta; and, both sides had benefited from canal for a number of years.  Therefore, a ""question of damages does not seem to arise"".  The growth of Douglas and Agua Prieta had caused concern on both sides of border.  Studies recommended new flood control works be built.  US called for equitable division of costs.",6,10,AZ-Mexico canal,,Yoffe,"Whiteman Digest, pp.256-259",,,,,
85,46,1,92,93,C35,C35A,345760,4/1/1951,ISR_INT,JORD,1,JORDAN,ISR,INT,I,R,JORD_ISR,JORD_INT,Israel--Palestinian Liberation Org.--Syria--Israel (internal),3,11,-3,n/a-internal,"Israel evacuates 650 arabs from Lake Huleh area,  against Syria & Palestinian Liberation Organization",2,10,Huleh Swamp,,COPDAB,Middle Eastern Affairs,,,,,
86,46,2,91,92,C35,C35B,352303,4/1/1951,ISR_SYR,JORD,1,JORDAN,ISR,SYR,I,R,JORD_ISR,JORD_SYR,Israel--Palestinian Liberation Org.--Syria--Israel (internal),3,10,-2,y,"Israel evacuates 650 arabs from Lake Huleh area,  against Syria & Palestinian Liberation Organization",2,10,Huleh Swamp,,COPDAB,Middle Eastern Affairs,,,,,
87,46,3,90,91,C35,C35C,354423,4/1/1951,ISR_PLO,JORD,1,JORDAN,ISR,PLO,I,R,JORD_ISR,JORD_PLO,Israel--Palestinian Liberation Org.--Syria--Israel (internal),3,12,-4,y,"Israel evacuates 650 arabs from Lake Huleh area,  against Syria & Palestinian Liberation Organization",2,10,Huleh Swamp,,COPDAB,Middle Eastern Affairs,,,,,
88,47,1,93,94,C36,C36,422013,4/7/1951,ISR_SYR,JORD,1,JORDAN,ISR,SYR,I,R,JORD_ISR,JORD_SYR,Israel--Syria,2,10,-2,y,Israel states to Syria Israel to continue draining Huleh Swamp,2,10,Huleh Swamp,,COPDAB,Middle Eastern Affairs,,,,,
92,50,1,97,98,C39,C39,352317,5/4/1951,ISR_SYR,JORD,1,JORDAN,ISR,SYR,I,R,JORD_ISR,JORD_SYR,Israel--Syria,2,14,-6,y,Israel repulses Syrian attacks N of Lake Tiberias,2,0,,Are attacks water related?,COPDAB,Arab World,,,,,
