Basin,Country,Description,DateSigned,Signatories,IssueArea
Nelson-Saskatchewan,Canada,Convention between Canada and the United States of America providing for emergency regulation of the level of Rainy Lake and of the level of other boundary waters in the Rainy Lake Watershed,15/09/1938,Great Britain  USA,Water Quantity
St. Lawrence,Canada,Exchange of notes constituting an agreement between the United States of America and Canada for the temporary diversion for power purposes of the water normally flowing over the American Falls at Niagara,21/03/1969,Canada  USA,Water Quantity  Hydro-power/Hydro-electricity
Columbia,Canada,Environmental Cooperation Agreement between British Columbia and the State of Washington to protect and manage groundwater resources,07/05/1992,Britich Colombia  Canada  Washington State  USA,N.A.
Fraser,Canada,Environmental Cooperation Agreement between British Columbia and the State of Washington to protect and manage groundwater resources,07/05/1992,Britich Colombia  Canada  Washington State  USA,N.A.
Unknown,Canada,An Act to Amend the International Boundary Waters Treaty Act: Regulations prohibiting the bulk removal of boundary waters from Canadian basins for any purpose. and licensing for projects affecting the level or flow of waters to the United States side of the border,19/12/2002,Canada  USA,N.A.
General,Cape Verde,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
General,Central African Republic,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Congo/Zaire,Central African Republic,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Central African Republic,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Niger,Chad,"Agreement concerning the Niger River Commission and the navigation and transport on the River Niger. Done at Niamey  on 25 November 1964."" Amendment to article 2 of the above said agreement",14/03/1969,Benin  Cameroon  Chad  Ivory Coast  Guinea  Mali  Niger  Nigeria  Burkina Faso,N.A.
Niger,Chad,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger. Done at Niamey  on 25 November 1964 [Rectification]. Niamey  15 May  1968,15/05/1968,Cameroon  Cote d'Ivoire  Dahomey  Guinea  Upper Volta  Mali  Niger  Nigeria  Chad,N.A.
Lake Chad,Chad,Agreement establishing the Lake Chad basin Commission development fund. Yaounde  22 October  1972,22/10/1972,Cameroun  Chad  Niger  Nigeria,N.A.
Groundwater,Chad,Agreement 1 - Text between Chad  Egypt  Libya and Sudan concerning the monitoring and exchange of groundwater information of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Groundwater,Chad,Agreement 2 - Text between Chad  Egypt  Libya and Sudan for Monitoring and Data Sharing for sustainable development and proper management of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Niger,Chad,Agreement concerning the Niger River Commission and the Navigation and Transport on the River Niger Revised on 2nd February  1968 and 15th June  1973,15/06/1973,Niger  Benin  Chad  Guinea  Cote d'Ivoire  Mali  Nigeria  Cameroon  Upper Volta,N.A.
Niger,Chad,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Chad,Convention creating the Niger Basin Authority,21/11/1980,Benin  Cameroon  Chad  Cote D'Ivoire  Revolutionaly People's Republic of Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Niger,Chad,Act regarding navigation and economic co-operation between the states of the Niger Basin,26/10/1963,Cameroon  Chad  Cote D'lvoire  Dahomey  Guinea  Mali  Niger  Nigeria  Upper Volta,Economic Development
Lake Chad,Chad,Convention and statutes relating to the development of the Chad Basin,22/05/1964,Cameroon  Chad  Niger  Nigeria,Economic Development
Niger,Chad,Agreement concerning the River Niger Commission and the navigation and transport on the River Niger,25/11/1964,Repulic of  Dahomey (Benin)  Cameroon  Chad  Cote D'Ivoire  Guinea  Mali  Niger  Nigeria  Republic of Upper Volta (Burkina Faso),Economic Development
Niger,Chad,Revised financial procedures of the Niger Basin Authority  done at Ndjamena,27/10/1987,Algeria  Benin  Cameroon  Chad  Guinea  Cote D'Ivoire  Mali  Niger  Nigeria  Burkina Faso,Joint Management
Niger,Chad,Revised convention pertaining to the creation of the Niger Basin Authority  signed at N'Djamena,29/10/1987,Benin  Burkina Fano  Cameroon  Cote D'lvoire  Guinea  Mali  Niger  Nigeria  Chad,Joint Management  Economic Development
Lake Chad,Chad,Accord pertaining to the creation of funds for the development of the Chad Basin Commission,10/10/1973,Cameroon  Chad  Niger  Nigeria,Joint Management  Economic Development
General,Chad,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Niger,Chad,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Chad,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Unknown,Chile,Act of Santiago pertaining to river basins.,26/06/1971,Argentina  Chile,N.A.
Unknown,Chile,Treaty on the Environment between the Republic of Chile and the Republic of Argentina,02/08/1991,Chile  Argentina,N.A.
Lake Titicaca-Poopo System,Chile,Treaty between Chile and Peru for the settlement of  the dispute regarding Tacna and Arica,03/06/1929,Chile  Peru,Territorial Issues  Irrigation
Ili/Kunes He,China,Agreement between the Government of Kazakhstan and the Government of People?s Republic of China on management and protection of transboundary rivers,12/09/2001,China  Kazakhstan,N.A.
Ob,China,Agreement between the Government of Kazakhstan and the Government of People?s Republic of China on management and protection of transboundary rivers,12/09/2001,China  Kazakhstan,N.A.
Yalu,China,Protocol on China?s supply of whole sets of equipment and machinery for the joint construction of a power station on the Yalu River.,11/05/1905,China  North Korea,N.A.
Yalu,China,Agreement on strengthening cooperation in border zones along the Yalu River.,13/05/1905,China  North Korea,N.A.
Yalu,China,Protocol on work of board of directors and inspectors of North Korea and China Yalu River Hydroelectric Company. Agreement text is not available. Title retrieved from Ginsburgs and Kim (1977),24/05/1905,China  North Korea,N.A.
Amur,China,Agreement between the the Government of the Russian Federation and the Government of the People's Republic of China concerning co-operation in the sphere of protection  regulation and reproduction of living water resources in transboundary waters of Amur and Ussuri Rivers,27/05/1994,Russian Federation  China,N.A.
Amur,China,Navigation procedures and construction on border rivers (including Amur  Ussuri  Argun). (Agreement text is not available. Title retrieved from Johnston and Chiu (1968).),04/05/1905,Soviet Union  China,N.A.
Ili/Kunes He,China,Protocol between China and Russia for the delimitation of the frontier along the River Horgos,12/06/1915,China  Russia,Border Issues
Unknown,China,Agreement between the Government of the Russian Federation and the Government of People's Republic of China concerning principles of joint economic use of several islands and adjacent water areas of transboundary rivers,10/11/1997,Russia  China,Economic Development
Amur,China,Agreement between the government of the People's Republic of China and the government of Mongolia on the protection and utilization of transboundary waters,29/04/1994,China  Mongolia,Flood control/relief  Water Quantity
Ob,China,Agreement between the government of the People's Republic of China and the government of Mongolia on the protection and utilization of transboundary waters,29/04/1994,China  Mongolia,Flood control/relief  Water Quantity
Pu Lun T'o,China,Agreement between the government of the People's Republic of China and the government of Mongolia on the protection and utilization of transboundary waters,29/04/1994,China  Mongolia,Flood control/relief  Water Quantity
Amur,China,Agreement between the Union of Soviet Socialist Republics and the People's Republic of China on joint research operations to determine the natural resources of the Amur River Basin and the prospects for development of its productive potentialities and on lanning and survey operations to prepare a scheme for the multi-purpose exploitation of the operations to prepare a scheme for the multi-purpose exploitation of the Argun River and the Upper Amur River,18/08/1956,Soviet Union  China,Hydro-power/Hydro-electricity
Mekong,China,Agreement on Providing the Hydrologic Data during Flood Season,01/04/2002,Cambodia  China  Lao PDR Thailand  Vietnam,N.A.
Mekong,China,Commercial navigation on the Lancand-Mekong River,26/06/2001,China  Laos  Myanmar  Thailand,N.A.
Tumen,China,"The three parties signed the ""Agreement on establishing the Development and Coordination Commission of Tumen River Area"" in New York  December 1995",01/12/1995,China  Russian Federation  DPRK,N.A.
Tumen,China,"The parties signed the ""Agreement on establishing the development and negotiation commission of the Tumen River Economic Development Zone and Notrheast Asia""",18/06/1905,DPRK  China  ROK  Mongolia  Russia,N.A.
Amazon,Colombia,Treaty for Amazonian cooperation,03/07/1978,Bolivia  Brazil Colombia  Ecuador  Guyana  Peru  Suriname  Venezuela,Economic Development
General,Comoros,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Unknown,Congo  Democratic Republic of (Kinshasa),Agreement between Great Britain and the Independent State of the Congo relating to the spheres of influence of Great Britain and the Independent State of the Congo in East and Central Africa,5/12/1894,U.K.  Independent State of the Congo,N.A.
Nile,Congo  Democratic Republic of (Kinshasa),Agreement between Great Britain and the Independent State of the Congo  modifying the agreement signed at Brussels 12 May 1894  relating to the spheres of influence of Great Britain and the Independent State of the Congo in East and Central Africa,09/05/1906,Great Britain  Congo  Independent State of,Border Issues
General,Congo  Democratic Republic of (Kinshasa),Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
General,Congo  Democratic Republic of (Kinshasa),African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Congo  Democratic Republic of (Kinshasa),African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Congo/Zaire,Congo  Democratic Republic of (Kinshasa),The Convention on the Sustainable Management of Lake Tanganyika,12/06/2003,TANZANIA  Un. Rep. of  ZAMBIA  BURUNDI  CONGO,Water Quality  Fishing  Economic Development  Technical Cooperation/Assistance  Navigation  Joint Management
Nile,Congo  Democratic Republic of (Kinshasa),Agreement between the United Kingdom and Belgium regarding water rights on the boundary between Tanganyika and Ruanda-Urundi,22/11/1934,Great Britain  Belgium,Water Quantity
General,Congo  Republic of the (Brazzaville),African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Congo  Republic of the (Brazzaville),African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
General,Costa Rica,Comite' Coordinador Regional de Inistituciones de Agua Potable y Saneamiento de Centroamerica  Panama' y Republica Dominicana (CAPRE),01/05/1979,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama  Dominican Republic,N.A.
San Juan,Costa Rica,Award of the President of the United States on the validity of the treaty of limits of 15 April 1858 between Costa Rica and Nicaragua,3/22/1888,Costa Rica  Nicaragua,Navigation
General,Costa Rica,Agreement for the creation of the regional coordinating committee of potable water and sanitation institutions of Central America  Panama  and the Dominican Republic (CAPRE),23/10/1989,Guatemala  El Salvador  Honduras  Nicaragua  Costa Rica  Panama,Water Quality  Technical Cooperation/Assistance
Niger,Cote d'Ivoire,Agreement between France and Great Britain relative to the frontier between French and British possessions from the Gulf of Guinea to the Niger,19/10/1906,Great Britain  France,Border Issues
Niger,Cote d'Ivoire,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
Danube,Croatia,Convention Between the Governments of the Romanian People's Republic  the People's Republic of Bulgaria  the Federal People's Republic of Yugoslavia and the Union of Soviet Socialist Republics concerning fishing in the waters of the Danube,29/01/1958,Romanian People's Republic  People's Republic of Bulgaria  Federal People's Republic of Yugoslavia  Union of Soviet Socialist Republics,N.A.
Danube,Croatia,Agreement concerning water-economy questions between the government of the Federal People's Republic of Yugoslavia and the government of the People's Republic of Bulgaria,04/04/1958,Bulgaria  Yuoslavia,Economic Development
Danube,Croatia,Agreement between Yugoslavia and Romania concerning questions of water control on water control systems and watercourses on or intersected,07/04/1955,Romania  Yugoslavia,Fishing
Danube,Croatia,Agreement between Yugoslavia and Hungary together with the statute of the Yugoslav-Hungarian water economy commission.,08/08/1955,Hungary  Yugoslavia,Flood Control/Relief
Danube,Croatia,Agreement between the government of the Federal People's Republic of Yugoslavia and the government of the People's Republic of Albania concerning water economy questions  together with the statue of the Yugoslav-Albanian Water economic commission and with he protocol concerning fishing in frontier lakes and rivers.,05/12/1956,Albania  Yugoslavia  People's Republic of,Hydro-power/Hydro-electricity
Danube,Croatia,Agreement between the Socialist Federal Republic of Yugoslavia and the Romanian People?s Republic concerning the construction and operation of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Croatia,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the operation of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Croatia,Convention between the Socialist Federal Republic of Yugoslavia and the Romanian People?s Republic concerning compensation for damage caused by the construction of the Iron Gates water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Hydro-power/Hydro-electricity
Danube,Croatia,Protocol between the Federal People's Republic of Yugoslavia and the People's Republic of Romania governing crossing of the frontier by officials of the water control services,31/12/1948,Romania  Yugoslavia,Infrastructure/Development
Danube,Croatia,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the determination of the value of investments and mutual accounting in connexion with the construction of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Croatia,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the execution of works for the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Croatia,Convention between the government of the Socialist Federal Republic of Yugoslavia and the government of the Romanian People's Republic concerning the preparation of designs for the construction of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Croatia,Final act  agreement and other acts relating to the establishment and operation of the Iron Gates Water power and navigation system on the River Danube,30/11/1963,Romania  Yugoslavia,Infrastructure/Development  Hydro-power/Hydro-electricity
Danube,Croatia,Convention on cooperation for the protection and sustainable use of the River Danube,29/06/1994,Austria  Bulgaria  Croatia  European Union  Germany  Hungary  Moldova  Romania  Slovakia  Ukraine,Joint Management
Danube,Croatia,Agreement between the government of the Republic of Croatia and the government of the Republic of Hungary on water management relations,10/06/1994,Croatia  Hungary,Joint Management
Danube,Croatia,Agreement between the Federal People's Republic of Yugoslavia and the Republic of Austria concerning water economy questions in respect of the frontier sector of the Mura and the frontier waters of the Mura (the Mura Agreement)  and  Protocol to the Mura,16/12/1954,Austria  Yugoslavia,Joint Management  Water Quality
Danube,Croatia,Convention instituting the definitive statute of the Danube,23/07/1921,Belgium  France  Great Britain  Greece  Serb-Croat-Slovene State  Czechoslovakia  Romania  Italy  Germany  Austria  Hungary  Bulgaria,Navigation
Danube,Croatia,Convention regarding the regime of navigation on the Danube,18/08/1948,Bulgaria  Czechoslovakia  Hungary  Romania  Ukraine  Soviet Socialist Republic of  Soviet Union  Yugoslavia  People's Republic of,Navigation
Danube,Croatia,Framework Agreement on the Sava River Basin,03/12/2002,Croatia  Slovenia  Yugoslavia  Bosnia and Herzegovina,Navigation  Water Quality
Danube,Croatia,Framework Agreement on the Sava River Basin,03/12/2002,Croatia  Slovenia  Yugoslavia  Bosnia and Herzegovina,Navigation  Water Quality
Danube,Croatia,Convention between the government of the Federal People's Republic of Yugoslavia and the Federal Government of the Austrian Republic concerning water economy questions relating to the Drava  signed at Geneva,25/05/1954,Austria  Yugoslavia,Water Quantity  Hydro-power/Hydro-electricity
General,Cyprus,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Oder/Odra,Czech Republic,Convention between the Czechoslovak Republic and the Polish Republic concerning the improvement of the rivers Olsa and Petruvka signed at Katowice,18/02/1928,Czechoslovak Republic  Polish Republic,N.A.
Danube,Czech Republic,Agreement Concerning Mutual Assistance in the Construction of the Gabcikovo-Nagymaros system of locks,16/09/1977,Czechoslovakis  Hungary,N.A.
Unknown,Czech Republic,Agreement between the Government of the Republic of Poland and the Government of the Czech Republic on Cooperation on Transboundary Waters,19/05/1996,Poland  Czech Republic,N.A.
Unknown,Czech Republic,Convention on the management of the water regime of the Latorica and Uzh Rivers signed between the Government of the Union of Soviet Socialist Republics and the Government of the Republic of Czechoslovakia.,08/05/1905,Soviet Union  Czechoslovakia,N.A.
Danube,Czech Republic,Treaty between Czechoslovakia and Hungary concerning the regime of state frontiers.,13/10/1956,Czechoslovakia  Hungary,Flood Control/Relief
Oder/Odra,Czech Republic,Agreement between the government of the Czechoslovak Republic and the government of the Polish People's Republic concerning the use of water resources in frontier waters,21/03/1958,Czechoslovakia  Poland,Flood control/relief  Water Quantity
Danube,Czech Republic,Agreement between Czechoslovakia and Hungary concerning the settlement of technical and economic questions relating to frontier water?,16/04/1954,Hungary  Czechoslovakia,Flood control/relief  Water Quantity
Danube,Czech Republic,Convention between the Austrian and Czechoslovak Republics concerning the delimitation of the frontier between Austria and Czechoslovakia and various questions connected therewith,10/03/1921,Austria  Czechoslovakia,Hydro-power/Hydro-electricity  Infrastructure/Development
Elbe,Czech Republic,Agreement concerning the posts of secretary-general and assistant secretary-general of the International Elbe Commission,22/02/1922,Czechoslovakia  Germany,Joint Management
Elbe,Czech Republic,Protocol to the convention of 8 October 1990 between the Governments of the Federal Republic of Germany and the Czech and Slovak Federal Republic and the European Economic Community on the International Commission for the protection of the Elbe,09/12/1991,Germany  Federal Republic of  Czech and Slovak Republic  European Economic Community,Joint Management
Elbe,Czech Republic,Treaty between the Federal Republic of Germany and the Czech Republic concerning the management of border waters,12/12/1995,Germany  Federal Republic of  Czech Republic,Joint Management  Water Quality
Danube,Czech Republic,Framework convention of the protection and sustainable development of the Carpathians,22/05/2003,HUNGARY  ROMANIA  CZECH REPUBLIC  POLAND  UKRAINE  SLOVAKIA  SERBIA AND MONTENEGRO,Joint Management  Water Quality  Technical Cooperation/Assistance  Flood Control/Relief
Unknown,Czech Republic,Treaty between the Government of the People?s Republic of Poland and the Government of the Czechoslovakian Republic on regulating certain issues related to the construction of the dam on the River Witka (Smeda).,N.A.,Poland  Czechoslovakia,N.A.
Danube,Czech Republic,Treaty between the Republic of Austria and the Czechoslovak Socialist Republic concerning the regulation of water management questions relating to frontier waters,07/12/1967,Austria  Czechoslovakia,Navigation
Elbe,Czech Republic,Convention supplementary to the statute of navigation of the Elbe,27/01/1923,Belgium  Czechoslovakia  France  Germany  Great Britain  Italy,Navigation
Danube,Czech Republic,Convention instituting the definitive statute of the Danube,23/07/1921,Belgium  France  Great Britain  Greece  Serb-Croat-Slovene State  Czechoslovakia  Romania  Italy  Germany  Austria  Hungary  Bulgaria,Navigation
Danube,Czech Republic,Convention regarding the regime of navigation on the Danube,18/08/1948,Bulgaria  Czechoslovakia  Hungary  Romania  Ukraine  Soviet Socialist Republic of  Soviet Union  Yugoslavia  People's Republic of,Navigation
Danube,Czech Republic,Agreement between the government of the Czechoslovak Socialist Republic and the government of the Hungarian People's Republic concerning the establishment of a river administration in the Rajka-G���ny��� sector of the Danube,27/02/1968,Czechoslovakia  Hungary,Navigation
Elbe,Czech Republic,Convention instituting the statute of navigation of the Elbe,22/02/1922,Italy  Germany  France  Belgium  Great Britain  Czechoslovakia,Navigation
Danube,Czech Republic,Treaty between the Czech Republic Government and the Slovak Republic government on mutual relations and principles of cooperation in agriculture  food industry  forestry  and water economy under the conditions of the customs union,23/11/1992,Czech Republic  Slovak Republic,Technical Cooperation/Assistance
Oder/Odra,Czech Republic,Treaty between the Czech Republic Government and the Slovak Republic government on mutual relations and principles of cooperation in agriculture  food industry  forestry  and water economy under the conditions of the customs union,23/11/1992,Czech Republic  Slovak Republic,Technical Cooperation/Assistance
Oder/Odra,Czech Republic,Agreement between the Federal Republic of Germany  the Czech Republic and the Republic of Poland on protection of the Oder river from pollution,11/04/1996,German Fed. Rep.  Czech Republic  EEC  Poland,Water Quality
Elbe,Czech Republic,"Agreement between the German Ministry for Environment  Nature Protection  and Nuclear Security and the Czech Republic Ministry for Environment on the realization of common pilot projects for the environmental protection (""urban water treatment in northern",19/12/1994,Germany  Czech Republic,Water Quality
